-44.16, -48.0, 64.10578813966576
-43.77173098963379, -48.9210314760477, 71.9482742235553
-43.43485603779789, -49.86255096155362, 85.50821734951218
-43.11062925481412, -50.80852952235288, 86.8298438454074
-42.78547036510811, -51.75418751022723, 82.75549723877496
-42.451796114037805, -52.69686872600965, 79.62007990074686
-42.10404908934388, -53.63444040224462, 76.60287103552102
-41.73692053515523, -54.56458003520141, 73.34164289158855
-41.344662386318646, -55.48438318545415, 69.54089920341046
-40.920402075404, -56.38983558876807, 64.94420437311467
-40.455373008850316, -57.274980321633954, 58.86430836841073
-39.937992747119026, -58.130480682151, 51.58836831977558
-39.35016010616664, -58.93891085016676, 42.833546992422974
-38.67065623074231, -59.671279002563466, 35.8737355025188
-37.87050791451198, -60.26744919363788, 36.56766349478345
-36.954918613413845, -60.664629793492566, 44.22002477715312
-35.98432153547852, -60.9020117522192, 52.96109308243594
-34.99256438362584, -61.02722826633727, 60.39001966754056
-33.99393697391608, -61.075394891159114, 65.92331828978946
-32.994094095627894, -61.0666116686358, 70.39250186856945
-31.99550919601304, -61.01473837351214, 74.0556872449999
-30.999171537955725, -60.92971926011824, 77.17987192489545
-30.00534048126567, -60.81904095672749, 80.05955654348045
-29.013877087076846, -60.68876329669612, 83.04905458869715
-28.024368394845503, -60.544333002721125, 86.90350075208754
-27.03614143398135, -60.39134637134227, 85.91350985582017
-26.048084880792633, -60.237259063150574, 73.4616316868209
-25.05828205487181, -60.09496551311225, 56.6697886630415
-24.06298514999269, -60.0021284522816, 49.64039455795771
-24.0, -59.99999999999999, 49.64039455795771
